;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
6-1-2022 00:00;0.000482248;0.001;0.001;200;90;0.25;;
6-1-2022 01:00;0.000449889;0.001;0.001;200;90;0.25;;
6-1-2022 02:00;0.000436203;0.001;0.001;200;90;0.25;;
6-1-2022 03:00;0.000433344;0.001;0.001;200;90;0.25;;
6-1-2022 04:00;0.00043922;0.001;0.001;200;90;0.25;;
6-1-2022 05:00;0.000443776;0.001;0.001;200;90;0.25;;
6-1-2022 06:00;0.000498823;0.001;0.001;200;90;0.25;;
6-1-2022 07:00;0.000574728;0.001;0.001;200;90;0.25;;
6-1-2022 08:00;0.000626211;0.001;0.001;200;90;0.25;;
6-1-2022 09:00;0.00065993;0.001;0.001;200;90;0.25;;
6-1-2022 10:00;0.000674541;0.001;0.001;200;90;0.25;;
6-1-2022 11:00;0.000660628;0.001;0.001;200;90;0.25;;
6-1-2022 12:00;0.000630246;0.001;0.001;200;90;0.25;;
6-1-2022 13:00;0.000602711;0.001;0.001;200;90;0.25;;
6-1-2022 14:00;0.000599495;0.001;0.001;200;90;0.25;;
6-1-2022 15:00;0.000626296;0.001;0.001;200;90;0.25;;
6-1-2022 16:00;0.000665502;0.001;0.001;200;90;0.25;;
6-1-2022 17:00;0.000666125;0.001;0.001;200;90;0.25;;
6-1-2022 18:00;0.000662199;0.001;0.001;200;90;0.25;;
6-1-2022 19:00;0.000600267;0.001;0.001;200;90;0.25;;
6-1-2022 20:00;0.000560652;0.001;0.001;200;90;0.25;;
6-1-2022 21:00;0.000538336;0.001;0.001;200;90;0.25;;
6-1-2022 22:00;0.000478804;0.001;0.001;200;90;0.25;;
6-1-2022 23:00;0.000458068;0.001;0.001;200;90;0.25;;
7-1-2022 00:00;0.000374229;0.001;0.001;200;90;0.25;;
7-1-2022 01:00;0.000339967;0.001;0.001;200;90;0.25;;
7-1-2022 02:00;0.000323202;0.001;0.001;200;90;0.25;;
7-1-2022 03:00;0.000304839;0.001;0.001;200;90;0.25;;
7-1-2022 04:00;0.000303904;0.001;0.001;200;90;0.25;;
7-1-2022 05:00;0.000316415;0.001;0.001;200;90;0.25;;
7-1-2022 06:00;0.000343827;0.001;0.001;200;90;0.25;;
7-1-2022 07:00;0.000424514;0.001;0.001;200;90;0.25;;
7-1-2022 08:00;0.000478449;0.001;0.001;200;90;0.25;;
7-1-2022 09:00;0.000521075;0.001;0.001;200;90;0.25;;
7-1-2022 10:00;0.000558993;0.001;0.001;200;90;0.25;;
7-1-2022 11:00;0.000548563;0.001;0.001;200;90;0.25;;
7-1-2022 12:00;0.000524946;0.001;0.001;200;90;0.25;;
7-1-2022 13:00;0.000499541;0.001;0.001;200;90;0.25;;
7-1-2022 14:00;0.000496537;0.001;0.001;200;90;0.25;;
